date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:32	45815/45815	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:32%20GMT	https://www.agrico.co.uk/	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/index.html	(from )
22:52:33	277/277	---M-Z	200	added ('OK')	text/plain	date:Mon,%2012%20Dec%202022%2017:22:31%20GMT	https://www.agrico.co.uk/robots.txt		(from )
22:52:34	214671/214671	---M-Z	200	added ('OK')	text/css	etag:%22ab589640735d91:0%22	https://www.agrico.co.uk/dist/assets/stylesheets/style.css?C02584523C7D7FFC0806082624F6EC6A	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/stylesheets/style467c.css	(from https://www.agrico.co.uk/)
22:52:35	9895/9895	---M--	200	added ('OK')	image/png	etag:%226bf0db76735d91:0%22	https://www.agrico.co.uk/dist/assets/favicons/apple-touch-icon.png	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/favicons/apple-touch-icon.png	(from https://www.agrico.co.uk/)
22:52:35	5226410/5226410	---M--	200	added ('OK')	image/png	etag:%224cae95f8a045d81:0%22	https://www.agrico.co.uk/media/5dhdz3ku/back-up-video-home.png	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/5dhdz3ku/back-up-video-home.png	(from https://www.agrico.co.uk/)
22:52:35	1436/1436	---M--	200	added ('OK')	image/png	etag:%22ce5eb877735d91:0%22	https://www.agrico.co.uk/dist/assets/favicons/favicon-32x32.png	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/favicons/favicon-32x32.png	(from https://www.agrico.co.uk/)
22:52:36	641/641	---M--	200	added ('OK')	image/png	etag:%225da5f77735d91:0%22	https://www.agrico.co.uk/dist/assets/favicons/favicon-16x16.png	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/favicons/favicon-16x16.png	(from https://www.agrico.co.uk/)
22:52:37	499/499	---M--	200	added ('OK')	application/json	etag:%22aa468c40735d91:0%22	https://www.agrico.co.uk/dist/assets/favicons/site.webmanifest	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/favicons/site.json	(from https://www.agrico.co.uk/)
22:52:38	22158/22158	---M--	200	added ('OK')	image/svg+xml	etag:%22aa468c40735d91:0%22	https://www.agrico.co.uk/dist/assets/favicons/safari-pinned-tab.svg	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/favicons/safari-pinned-tab.svg	(from https://www.agrico.co.uk/)
22:52:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2012%20Dec%202022%2017:22:38%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/DELL/Desktop/websites/agrico/www.googletagmanager.com/gtm.75445.delayed	(from https://www.agrico.co.uk/)
22:52:38	104265/104265	---M-Z	200	added ('OK')	application/javascript	etag:%227a452d9712ed91:0%22	https://consent.cookiebot.com/uc.js	C:/Users/DELL/Desktop/websites/agrico/consent.cookiebot.com/uc.js	(from https://www.agrico.co.uk/)
22:52:39	22295/22295	---M--	200	added ('OK')	image/png	etag:%225f8ac9553d7d81:0%22	https://www.agrico.co.uk/media/wqnligca/agrico-uk-logo-small.png?anchor=center&mode=crop&height=152&rnd=133092659797730000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/wqnligca/agrico-uk-logo-smallfc2e.png	(from https://www.agrico.co.uk/)
22:52:40	48591/48591	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:39%20GMT	https://www.agrico.co.uk/why-agrico	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/why-agrico.html	(from https://www.agrico.co.uk/)
22:52:41	48897/48897	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:39%20GMT	https://www.agrico.co.uk/about-agrico-uk	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/about-agrico-uk.html	(from https://www.agrico.co.uk/)
22:52:42	31577/31577	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:40%20GMT	https://www.agrico.co.uk/uk-varieties	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/uk-varieties.html	(from https://www.agrico.co.uk/)
22:52:42	47398/47398	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:41%20GMT	https://www.agrico.co.uk/research	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/research.html	(from https://www.agrico.co.uk/)
22:52:43	51952/51952	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:42%20GMT	https://www.agrico.co.uk/news-events	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/news-events.html	(from https://www.agrico.co.uk/)
22:52:44	44851/44851	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:42%20GMT	https://www.agrico.co.uk/contact	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/contact.html	(from https://www.agrico.co.uk/)
22:52:45	42028/42028	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:43%20GMT	https://www.agrico.co.uk/growers	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/growers.html	(from https://www.agrico.co.uk/)
22:52:45	55302/55302	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:45%20GMT	https://www.agrico.co.uk/news	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/news.html	(from https://www.agrico.co.uk/)
22:52:46	130/130	---MC-	302	error ('Found')	text/html	date:Mon,%2012%20Dec%202022%2017:22:45%20GMT	https://www.agrico.co.uk/our-varieties	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/our-varieties.12.delayed	(from https://www.agrico.co.uk/)
22:52:47	47845/47845	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:46%20GMT	https://www.agrico.co.uk/bioselect	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/bioselect.html	(from https://www.agrico.co.uk/)
22:52:48	49584/49584	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:47%20GMT	https://www.agrico.co.uk/next-generation-varieties	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/next-generation-varieties.html	(from https://www.agrico.co.uk/)
22:52:49	143412/143412	---M--	200	added ('OK')	image/jpeg	etag:%225d7d73a0f744d81:0%22	https://www.agrico.co.uk/media/wyupzefa/img_0482.jpg?anchor=center&mode=crop&width=960&height=720&rnd=132772928913570000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/wyupzefa/img_04827137.jpg	(from https://www.agrico.co.uk/)
22:52:49	112920/112920	---M--	200	added ('OK')	image/png	etag:%222f16a9f3e144d81:0%22	https://www.agrico.co.uk/media/ejgfxadj/def-kleurencirkel-engelsv2.png?center=0.49544193420531113,0.478905453329425&mode=crop&width=960&height=720&rnd=132604558817300000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/ejgfxadj/def-kleurencirkel-engelsv285cc.png	(from https://www.agrico.co.uk/)
22:52:50	41058/41058	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:49%20GMT	https://www.agrico.co.uk/testimonials	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/testimonials.html	(from https://www.agrico.co.uk/)
22:52:51	179110/179110	---M--	200	added ('OK')	image/jpeg	etag:%22a38ddea3e344d81:0%22	https://www.agrico.co.uk/media/bxljj5m1/markies-pjlee-2.jpg?anchor=center&mode=crop&width=960&height=720&rnd=132920901022030000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/bxljj5m1/markies-pjlee-2544f.jpg	(from https://www.agrico.co.uk/)
22:52:52	120356/120356	---M--	200	added ('OK')	image/jpeg	etag:%225d7d73a0f744d81:0%22	https://www.agrico.co.uk/media/5qmn2d5l/20190625_103615.jpg?anchor=center&mode=crop&width=960&height=720&rnd=132440327747870000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/5qmn2d5l/20190625_103615e7b7.jpg	(from https://www.agrico.co.uk/)
22:52:52	84135/84135	---M--	200	added ('OK')	image/jpeg	etag:%22216415a4e344d81:0%22	https://www.agrico.co.uk/media/bvbdq5ao/klaas-eissens_agrico-rs-blaadjes-kloontjes-stekken-12-06-19-13.jpg?crop=0,0.16294642857142855,0.25595238095238088,0&cropmode=percentage&width=960&height=720&rnd=132604554061900000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/bvbdq5ao/klaas-eissens_agrico-rs-blaadjes-kloontjes-stekken-12-06-19-1352ac.jpg	(from https://www.agrico.co.uk/)
22:52:53	235912/235912	---M--	200	added ('OK')	image/jpeg	etag:%22216415a4e344d81:0%22	https://www.agrico.co.uk/media/tg4nkpay/img_7320.jpg?crop=0.35038253528558233,0.10923690805962273,0.03129534362221352,0.19515070571164758&cropmode=percentage&width=960&height=720&rnd=132604603225030000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/tg4nkpay/img_732000cf.jpg	(from https://www.agrico.co.uk/)
22:52:54	157925/157925	---M--	200	added ('OK')	image/jpeg	etag:%225d7d73a0f744d81:0%22	https://www.agrico.co.uk/media/fadftgtb/20190625_103751.jpg?center=0.23388420860600334,0.63578827424768491&mode=crop&width=960&height=720&rnd=132772940341670000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/fadftgtb/20190625_1037514ccd.jpg	(from https://www.agrico.co.uk/)
22:52:54	111087/111087	---M--	200	added ('OK')	image/jpeg	etag:%22d925a5fe244d81:0%22	https://www.agrico.co.uk/media/rnbhwibe/klaas-eissens_agrico-rs-27-06-19-demovelden-42.jpg?crop=0.18179559112994462,0.16870386390698533,0.22965753111124193,0.16923155389990369&cropmode=percentage&width=960&height=720&rnd=132604558359000000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/rnbhwibe/klaas-eissens_agrico-rs-27-06-19-demovelden-4211dd.jpg	(from https://www.agrico.co.uk/)
22:52:56	728337/728337	---M--	200	added ('OK')	image/png	etag:%22a68afda3e344d81:0%22	https://www.agrico.co.uk/media/bo1fiazz/steven.png?center=0.93657407407407411,0.85324074074074074&mode=crop&width=540&height=540&rnd=132754883194170000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/bo1fiazz/stevene375.png	(from https://www.agrico.co.uk/)
22:52:56	70949/70949	---M--	200	added ('OK')	image/jpeg	etag:%22feb04a4e344d81:0%22	https://www.agrico.co.uk/media/l4bgqoi0/img_0614.jpg?center=0.73519871988928764,0.34055526725480018&mode=crop&width=540&height=540&rnd=132703094857770000	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/l4bgqoi0/img_0614501e.jpg	(from https://www.agrico.co.uk/)
22:52:56	103774/103774	---M--	200	added ('OK')	image/png	etag:%2262e265b1dd7d81:0%22	https://www.agrico.co.uk/media/y50lkw1x/slogan-say-960x720px.png	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/y50lkw1x/slogan-say-960x720px.png	(from https://www.agrico.co.uk/)
22:52:57	42628/42628	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:56%20GMT	https://www.agrico.co.uk/csr	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/csr.html	(from https://www.agrico.co.uk/)
22:52:59	314397/314397	---M--	200	added ('OK')	application/pdf	etag:%223048b28218ad71:0%22	https://www.agrico.co.uk/media/hihjj3nd/agrico-uk-customer-charter-2021.pdf	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/hihjj3nd/agrico-uk-customer-charter-2021.pdf	(from https://www.agrico.co.uk/)
22:52:59	37789/37789	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2017:22:58%20GMT	https://www.agrico.co.uk/trading-conditions	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/trading-conditions.html	(from https://www.agrico.co.uk/)
22:52:59	3347963/3347963	---M--	200	added ('OK')	application/pdf	etag:%222e49f8d5774d71:0%22	https://www.agrico.co.uk/media/nclm5wc2/agrico-uk-iso-26000-report-2015.pdf	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/media/nclm5wc2/agrico-uk-iso-26000-report-2015.pdf	(from https://www.agrico.co.uk/)
22:53:00	31740/31740	---M-Z	200	added ('OK')	application/javascript	etag:%220ab9440735d91:0%22	https://www.agrico.co.uk/dist/assets/plugins/tiny-slider.js	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/plugins/tiny-slider.js	(from https://www.agrico.co.uk/)
22:53:01	71325/71325	---M-Z	200	added ('OK')	application/javascript	etag:%229afa9440735d91:0%22	https://www.agrico.co.uk/dist/assets/scripts/script.js?C02584523C7D7FFC0806082624F6EC6A	C:/Users/DELL/Desktop/websites/agrico/www.agrico.co.uk/dist/assets/scripts/script467c.js	(from https://www.agrico.co.uk/)
